date,price,change,change_percentage
3/4/1957,44.06,0.32,0.73%
3/5/1957,44.22,0.16,0.36%
3/6/1957,44.23,0.01,0.02%
3/7/1957,44.21,-0.02,-0.05%
3/8/1957,44.07,-0.14,-0.32%
3/11/1957,43.78,-0.29,-0.66%
3/12/1957,43.75,-0.03,-0.07%
3/13/1957,44.04,0.29,0.66%
3/14/1957,44.07,0.03,0.07%
3/15/1957,44.05,-0.02,-0.05%
3/18/1957,43.85,-0.2,-0.45%
3/19/1957,44.04,0.19,0.43%
3/20/1957,44.1,0.06,0.14%
3/21/1957,44.11,0.01,0.02%
3/22/1957,44.06,-0.05,-0.11%
3/25/1957,43.88,-0.18,-0.41%
3/26/1957,43.91,0.03,0.07%
3/27/1957,44.09,0.18,0.41%
3/28/1957,44.18,0.09,0.20%
3/29/1957,44.11,-0.07,-0.16%
4/1/1957,44.14,0.03,0.07%
4/2/1957,44.42,0.28,0.63%
4/3/1957,44.54,0.12,0.27%
4/4/1957,44.44,-0.1,-0.22%
4/5/1957,44.49,0.05,0.11%
4/8/1957,44.39,-0.1,-0.22%
4/9/1957,44.79,0.4,0.90%
4/10/1957,44.98,0.19,0.42%
4/11/1957,44.98,0,0.00%
4/12/1957,44.98,0,0.00%
4/15/1957,44.95,-0.03,-0.07%
4/16/1957,45.02,0.07,0.16%
4/17/1957,45.08,0.06,0.13%
4/18/1957,45.41,0.33,0.73%
4/22/1957,45.48,0.07,0.15%
4/23/1957,45.65,0.17,0.37%
4/24/1957,45.72,0.07,0.15%
4/25/1957,45.56,-0.16,-0.35%
4/26/1957,45.5,-0.06,-0.13%
4/29/1957,45.73,0.23,0.51%
4/30/1957,45.74,0.01,0.02%
5/1/1957,46.02,0.28,0.61%
5/2/1957,46.39,0.37,0.80%
5/3/1957,46.34,-0.05,-0.11%
5/6/1957,46.27,-0.07,-0.15%
5/7/1957,46.13,-0.14,-0.30%
5/8/1957,46.31,0.18,0.39%
5/9/1957,46.36,0.05,0.11%
5/10/1957,46.59,0.23,0.50%
5/13/1957,46.88,0.29,0.62%
5/14/1957,46.67,-0.21,-0.45%
5/15/1957,46.83,0.16,0.34%
5/16/1957,47.02,0.19,0.41%
5/17/1957,47.15,0.13,0.28%
5/20/1957,47.35,0.2,0.42%
5/21/1957,47.33,-0.02,-0.04%
5/22/1957,47.14,-0.19,-0.40%
5/23/1957,47.15,0.01,0.02%
5/24/1957,47.21,0.06,0.13%
5/27/1957,46.78,-0.43,-0.91%
5/28/1957,46.69,-0.09,-0.19%
5/29/1957,47.11,0.42,0.90%
5/31/1957,47.43,0.32,0.68%
6/3/1957,47.37,-0.06,-0.13%
6/4/1957,47.28,-0.09,-0.19%
6/5/1957,47.27,-0.01,-0.02%
6/6/1957,47.8,0.53,1.12%
6/7/1957,47.85,0.05,0.10%
6/10/1957,47.9,0.05,0.10%
6/11/1957,47.94,0.04,0.08%
6/12/1957,48.05,0.11,0.23%
6/13/1957,48.14,0.09,0.19%
6/14/1957,48.15,0.01,0.02%
6/17/1957,48.24,0.09,0.19%
6/18/1957,48.04,-0.2,-0.41%
6/19/1957,47.72,-0.32,-0.67%
6/20/1957,47.43,-0.29,-0.61%
6/21/1957,47.15,-0.28,-0.59%
6/24/1957,46.78,-0.37,-0.78%
6/25/1957,47.15,0.37,0.79%
6/26/1957,47.09,-0.06,-0.13%
6/27/1957,47.26,0.17,0.36%
6/28/1957,47.37,0.11,0.23%
7/1/1957,47.43,0.06,0.13%
7/2/1957,47.9,0.47,0.99%
7/3/1957,48.46,0.56,1.17%
7/5/1957,48.69,0.23,0.47%
7/8/1957,48.9,0.21,0.43%
7/9/1957,48.9,0,0.00%
7/10/1957,49,0.1,0.20%
7/11/1957,48.86,-0.14,-0.29%
7/12/1957,49.08,0.22,0.45%
7/15/1957,49.13,0.05,0.10%
7/16/1957,48.88,-0.25,-0.51%
7/17/1957,48.58,-0.3,-0.61%
7/18/1957,48.53,-0.05,-0.10%
7/19/1957,48.58,0.05,0.10%
7/22/1957,48.47,-0.11,-0.23%
7/23/1957,48.56,0.09,0.19%
7/24/1957,48.61,0.05,0.10%
7/25/1957,48.61,0,0.00%
7/26/1957,48.45,-0.16,-0.33%
7/29/1957,47.92,-0.53,-1.09%
7/30/1957,47.92,0,0.00%
7/31/1957,47.91,-0.01,-0.02%
8/1/1957,47.79,-0.12,-0.25%
8/2/1957,47.68,-0.11,-0.23%
8/5/1957,47.26,-0.42,-0.88%
8/6/1957,46.67,-0.59,-1.25%
8/7/1957,47.03,0.36,0.77%
8/8/1957,46.9,-0.13,-0.28%
8/9/1957,46.92,0.02,0.04%
8/12/1957,46.33,-0.59,-1.26%
8/13/1957,46.3,-0.03,-0.06%
8/14/1957,45.73,-0.57,-1.23%
8/15/1957,45.75,0.02,0.04%
8/16/1957,45.83,0.08,0.17%
8/19/1957,44.91,-0.92,-2.01%
8/20/1957,45.29,0.38,0.85%
8/21/1957,45.49,0.2,0.44%
8/22/1957,45.16,-0.33,-0.73%
8/23/1957,44.51,-0.65,-1.44%
8/26/1957,43.89,-0.62,-1.39%
8/27/1957,44.61,0.72,1.64%
8/28/1957,44.64,0.03,0.07%
8/29/1957,44.46,-0.18,-0.40%
8/30/1957,45.22,0.76,1.71%
9/3/1957,45.44,0.22,0.49%
9/4/1957,45.05,-0.39,-0.86%
9/5/1957,44.82,-0.23,-0.51%
9/6/1957,44.68,-0.14,-0.31%
9/9/1957,44.28,-0.4,-0.90%
9/10/1957,43.87,-0.41,-0.93%
9/11/1957,44.26,0.39,0.89%
9/12/1957,44.82,0.56,1.27%
9/13/1957,44.8,-0.02,-0.04%
9/16/1957,44.58,-0.22,-0.49%
9/17/1957,44.64,0.06,0.13%
9/18/1957,44.69,0.05,0.11%
9/19/1957,44.4,-0.29,-0.65%
9/20/1957,43.69,-0.71,-1.60%
9/23/1957,42.69,-1,-2.29%
9/24/1957,42.98,0.29,0.68%
9/25/1957,42.98,0,0.00%
9/26/1957,42.57,-0.41,-0.95%
9/27/1957,42.55,-0.02,-0.05%
9/30/1957,42.42,-0.13,-0.31%
10/1/1957,42.76,0.34,0.80%
10/2/1957,43.1,0.34,0.80%
10/3/1957,43.14,0.04,0.09%
10/4/1957,42.79,-0.35,-0.81%
10/7/1957,42.22,-0.57,-1.33%
10/8/1957,41.95,-0.27,-0.64%
10/9/1957,41.99,0.04,0.10%
10/10/1957,40.96,-1.03,-2.45%
10/11/1957,40.94,-0.02,-0.05%
10/14/1957,41.24,0.3,0.73%
10/15/1957,41.67,0.43,1.04%
10/16/1957,41.33,-0.34,-0.82%
10/17/1957,40.65,-0.68,-1.65%
10/18/1957,40.33,-0.32,-0.79%
10/21/1957,39.15,-1.18,-2.93%
10/22/1957,38.98,-0.17,-0.43%
10/23/1957,40.73,1.75,4.49%
10/24/1957,40.71,-0.02,-0.05%
10/25/1957,40.59,-0.12,-0.29%
10/28/1957,40.42,-0.17,-0.42%
10/29/1957,40.69,0.27,0.67%
10/30/1957,41.02,0.33,0.81%
10/31/1957,41.06,0.04,0.10%
11/1/1957,40.44,-0.62,-1.51%
11/4/1957,40.37,-0.07,-0.17%
11/6/1957,40.43,0.06,0.15%
11/7/1957,40.67,0.24,0.59%
11/8/1957,40.19,-0.48,-1.18%
11/11/1957,40.18,-0.01,-0.02%
11/12/1957,39.6,-0.58,-1.44%
11/13/1957,39.55,-0.05,-0.13%
11/14/1957,39.44,-0.11,-0.28%
11/15/1957,40.37,0.93,2.36%
11/18/1957,40.04,-0.33,-0.82%
11/19/1957,39.81,-0.23,-0.57%
11/20/1957,39.92,0.11,0.28%
11/21/1957,40.48,0.56,1.40%
11/22/1957,40.87,0.39,0.96%
11/25/1957,41.18,0.31,0.76%
11/26/1957,40.09,-1.09,-2.65%
11/27/1957,41.25,1.16,2.89%
11/29/1957,41.72,0.47,1.14%
12/2/1957,41.36,-0.36,-0.86%
12/3/1957,41.37,0.01,0.02%
12/4/1957,41.54,0.17,0.41%
12/5/1957,41.52,-0.02,-0.05%
12/6/1957,41.31,-0.21,-0.51%
12/9/1957,40.92,-0.39,-0.94%
12/10/1957,40.56,-0.36,-0.88%
12/11/1957,40.51,-0.05,-0.12%
12/12/1957,40.55,0.04,0.10%
12/13/1957,40.73,0.18,0.44%
12/16/1957,40.12,-0.61,-1.50%
12/17/1957,39.42,-0.7,-1.74%
12/18/1957,39.38,-0.04,-0.10%
12/19/1957,39.8,0.42,1.07%
12/20/1957,39.48,-0.32,-0.80%
12/23/1957,39.48,0,0.00%
12/24/1957,39.52,0.04,0.10%
12/26/1957,39.92,0.4,1.01%
12/27/1957,39.78,-0.14,-0.35%
12/30/1957,39.58,-0.2,-0.50%
12/31/1957,39.99,0.41,1.04%
1/2/1958,40.33,0.34,0.85%
1/3/1958,40.87,0.54,1.34%
1/6/1958,40.68,-0.19,-0.46%
1/7/1958,41,0.32,0.79%
1/8/1958,40.99,-0.01,-0.02%
1/9/1958,40.75,-0.24,-0.59%
